Tue Dec 24 03:07:49 +0000 2019,🤍 https://t.co/f7ry1Nlhig,🤍 
Tue Dec 24 02:57:00 +0000 2019,i loveeeee uuuuuu. too much.,i loveeeee uuuuuu. too much.
Tue Dec 24 02:55:51 +0000 2019,sssssss wait u will. i’m scared i take it back. https://t.co/v2kaajMJsQ,sssssss wait u will. i’m scared i take it back. 
Tue Dec 24 02:54:14 +0000 2019,pull up. u won’t. https://t.co/d2JWlAtyXc,pull up. u won’t. 
Tue Dec 24 02:52:40 +0000 2019,love u more. promise. https://t.co/xvYKJfmgj2,love u more. promise. 
Tue Dec 24 02:51:52 +0000 2019,this makes me so happy. 🤍 love u i’m so glad u are enjoying. https://t.co/yJBBPAJfXY,this makes me so happy. 🤍 love u i’m so glad u are enjoying. 
Tue Dec 24 02:50:28 +0000 2019,good cause it’s true lmao https://t.co/jqYtsfEHVL,good cause it’s true lmao 
Tue Dec 24 02:49:59 +0000 2019,"that will always be my favorite to sing 🤍 and one of my favorites to hear the band play (i love everything they do too much)
 but i love the moments with u all in g&amp;g and r.e.m. v much 
and laughing at scott in the nasa bridge ... couldn’t not leave that in https://t.co/ZJxJRzCbbu","that will always be my favorite to sing 🤍 and one of my favorites to hear the band play (i love everything they do too much)
 but i love the moments with u all in g&amp;g and r.e.m. v much 
and laughing at scott in the nasa bridge ... couldn’t not leave that in "
Tue Dec 24 02:47:49 +0000 2019,thank u my baby https://t.co/Xk6KOHf7nQ,thank u my baby 
Tue Dec 24 02:47:19 +0000 2019,sweetest. love u. https://t.co/9KrqUO1zma,sweetest. love u. 
Tue Dec 24 02:46:43 +0000 2019,🤍 https://t.co/SwlZpF7CBR,🤍 
Tue Dec 24 02:39:52 +0000 2019,thank u 🥺 https://t.co/4yChgizBqY,thank u 🥺 
Tue Dec 24 02:39:51 +0000 2019,the way i can hear what u typed ... love u https://t.co/tip7rgGnsX,the way i can hear what u typed ... love u 
Tue Dec 24 02:39:23 +0000 2019,the way i can hear what u typed ... love u https://t.co/tip7rgXYRx,the way i can hear what u typed ... love u 
Tue Dec 24 02:38:05 +0000 2019,:) https://t.co/w1DJk3WOqu,:) 
Tue Dec 24 02:37:56 +0000 2019,🤍 https://t.co/4K5V4WtzQt,🤍 
Tue Dec 24 02:24:50 +0000 2019,hello i would like to hear your favorites n why https://t.co/dtrrF0tSzn,hello i would like to hear your favorites n why 
Mon Dec 23 19:18:44 +0000 2019,@MariahCarey 🐑🤍🥺,@MariahCarey 🤍🥺
Mon Dec 23 17:32:59 +0000 2019,@DUASBOY my love,@DUASBOY my love
Mon Dec 23 17:32:34 +0000 2019,@arianafenty @godishawn 26 year old ariana lost her shit too 🤍,@arianafenty @godishawn 26 year old ariana lost her shit too 🤍
Mon Dec 23 17:31:54 +0000 2019,@needyerika @godishawn me too and i did it,@needyerika @godishawn me too and i did it
Mon Dec 23 17:31:14 +0000 2019,@yourstrulycry @godishawn 🤍 :),@yourstrulycry @godishawn 🤍 :)
Mon Dec 23 17:29:09 +0000 2019,@godishawn u have no idea 🥺,@godishawn u have no idea 🥺
Mon Dec 23 17:27:23 +0000 2019,@MariahCarey 🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍,@MariahCarey 🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍
Mon Dec 23 07:01:18 +0000 2019,"thank u, swt. ‘k bye for now (swt live)’ out now. love u. https://t.co/dtrrF0tSzn https://t.co/1EmVGMAtrR","thank u, swt. ‘k bye for now (swt live)’ out now. love u.  "
Mon Dec 23 06:54:42 +0000 2019,https://t.co/8mKBVf8ndb,
Mon Dec 23 04:06:58 +0000 2019,https://t.co/xCmdrp8tF6,
Mon Dec 23 03:14:24 +0000 2019,https://t.co/YzAjGXRRW5,
Mon Dec 23 01:53:53 +0000 2019,love u. see u soon soon. https://t.co/LpLC4I1wtG,love u. see u soon soon. 
Mon Dec 23 01:51:14 +0000 2019,roshad there’s paps in my dressing room https://t.co/SNsrHVsFub,roshad there’s paps in my dressing room 
Mon Dec 23 01:50:24 +0000 2019,"i laughed out loud 
i proooooomise https://t.co/yXHzSuMP93","i laughed out loud 
i proooooomise "
Mon Dec 23 01:49:37 +0000 2019,the surprise: no https://t.co/suezuFxDsL,the surprise: no 
Mon Dec 23 01:49:06 +0000 2019,the surprise: having dinner maybe https://t.co/939lTEigNr,the surprise: having dinner maybe 
Mon Dec 23 01:47:28 +0000 2019,nah i love u so much i can’t put it into words https://t.co/1rwsVODyZP,nah i love u so much i can’t put it into words 
Mon Dec 23 01:47:02 +0000 2019,the surprise: goodnight https://t.co/eGyc3mIaMU,the surprise: goodnight 
Mon Dec 23 01:46:36 +0000 2019,my heart. thanks. love u. https://t.co/9RKXqFJONu,my heart. thanks. love u. 
Mon Dec 23 01:45:12 +0000 2019,the surprise: i made it to closing,the surprise: i made it to closing
Mon Dec 23 01:43:27 +0000 2019,the surprise was me still standing,the surprise was me still standing
Mon Dec 23 01:42:49 +0000 2019,this was the big surprise girl tf let me go to bed https://t.co/2qqrJep5Wg,this was the big surprise girl tf let me go to bed 
Mon Dec 23 01:40:17 +0000 2019,i promise it’ll be here tomorrow 🤍 go the fuck to sleep for once please https://t.co/uZEVDvZ6oJ,i promise it’ll be here tomorrow 🤍 go the fuck to sleep for once please 
Mon Dec 23 01:39:00 +0000 2019,see https://t.co/17FziVMrM1,see 
Mon Dec 23 01:37:07 +0000 2019,"soon as the shows over 
go to bed please https://t.co/bPMESczrc6","soon as the shows over 
go to bed please "
Mon Dec 23 01:36:04 +0000 2019,"@aintnotearsleft i don’t mean bye to you of course
just bye from this whole thing
it means time for a little break
🤍","@aintnotearsleft i don’t mean bye to you of course
just bye from this whole thing
it means time for a little break
🤍"
Mon Dec 23 01:34:37 +0000 2019,love u https://t.co/JtaWKLcPUp,love u 
Mon Dec 23 01:28:30 +0000 2019,"a little something to thank u for everything and to make saying goodbye to this chapter a lil easier 
love u","a little something to thank u for everything and to make saying goodbye to this chapter a lil easier 
love u"
Mon Dec 23 01:27:42 +0000 2019,(swt live),(swt live)
Mon Dec 23 01:27:19 +0000 2019,‘k bye for now’ tonight 🤍,‘k bye for now’ tonight 🤍
Mon Dec 23 01:26:35 +0000 2019,@holyneedy see ? growth !,@holyneedy see ? growth !
Mon Dec 23 01:26:21 +0000 2019,@seolasrose 🤗,@seolasrose 🤗
Mon Dec 23 01:26:06 +0000 2019,@_Toniiiiiiiii_ 😭😭😭 i tried,@_Toniiiiiiiii_  i tried
Mon Dec 23 01:25:19 +0000 2019,@remhaIo but i ain’t goin nowhere this time 🤍! i thought it’d be funny and cute ... too soon?,@remhaIo but i ain’t goin nowhere this time 🤍! i thought it’d be funny and cute ... too soon?
Mon Dec 23 00:45:14 +0000 2019,"@gwsborder yes 
he says “kayla...... thank you.....”","@gwsborder yes 
he says “kayla...... thank you.....”"
Mon Dec 23 00:44:41 +0000 2019,@alldatgrande and it’ll never happen again,@alldatgrande and it’ll never happen again
Sun Dec 22 21:01:17 +0000 2019,@grandesheal 🤍,@grandesheal 🤍
Sun Dec 22 21:00:34 +0000 2019,"@hannacondass there aren’t words. my bed, my babies, my car. it’s beyond.","@hannacondass there aren’t words. my bed, my babies, my car. it’s beyond."
Sun Dec 22 20:34:03 +0000 2019,@babysrem @fromnoheaven @sadbhtoside major,@babysrem @fromnoheaven @sadbhtoside major
Sun Dec 22 20:33:55 +0000 2019,@_Toniiiiiiiii_ @fromnoheaven @sadbhtoside which one,@_Toniiiiiiiii_ @fromnoheaven @sadbhtoside which one
Sun Dec 22 20:33:35 +0000 2019,@howimoveyou @fromnoheaven @sadbhtoside ! why do we know each other like this,@howimoveyou @fromnoheaven @sadbhtoside ! why do we know each other like this
Sun Dec 22 20:33:14 +0000 2019,@diornasa @fromnoheaven @sadbhtoside anys? a capital A? cmon now,@diornasa @fromnoheaven @sadbhtoside anys? a capital A? cmon now
Sun Dec 22 20:32:10 +0000 2019,@fromnoheaven @sadbhtoside getting texts about it https://t.co/mSJ86qXuza,@fromnoheaven @sadbhtoside getting texts about it 
Sun Dec 22 20:31:03 +0000 2019,@sadbhtoside like this looks edited https://t.co/aNBzsuKcR0,@sadbhtoside like this looks edited 
Sun Dec 22 20:28:44 +0000 2019,@howimoveyou @sadbhtoside courtney and i sing that to her every time we see her,@howimoveyou @sadbhtoside courtney and i sing that to her every time we see her
Sun Dec 22 20:27:38 +0000 2019,@sadbhtoside 🔥🔥🔥,@sadbhtoside 
Sun Dec 22 19:30:49 +0000 2019,100 https://t.co/k7Zx9vFLIs,100 
Sun Dec 22 19:10:54 +0000 2019,@remliams @mygrandepurpose 😭😭😭😭😭 well i will be here. love u.,@remliams @mygrandepurpose  well i will be here. love u.
Sun Dec 22 19:07:57 +0000 2019,@mygrandepurpose nah y’all said four days to a week,@mygrandepurpose nah y’all said four days to a week
Sun Dec 22 19:07:36 +0000 2019,love u more https://t.co/bxYOwbRG5M,love u more 
Sun Dec 22 19:03:46 +0000 2019,bookmark this lmao. love u. https://t.co/ZaRwISLiY3,bookmark this lmao. love u. 
Sun Dec 22 19:01:55 +0000 2019,@urtrueIove i love u i promise it ain’t gon be like last time. reaffirming. refer back to this tweet if / when u must.,@urtrueIove i love u i promise it ain’t gon be like last time. reaffirming. refer back to this tweet if / when u must.
Sun Dec 22 19:01:22 +0000 2019,@urtrueIove DUH,@urtrueIove DUH
Sun Dec 22 19:01:04 +0000 2019,@arianaenae me going to bed after,@arianaenae me going to bed after
Sun Dec 22 18:52:08 +0000 2019,well... i mean... give u your parting gift of course https://t.co/MexWokPJl8,well... i mean... give u your parting gift of course 
Sun Dec 22 18:51:18 +0000 2019,i willllll. thank u for everything this year. u have helped me more than i can explain. https://t.co/RL4FD5Oupf,i willllll. thank u for everything this year. u have helped me more than i can explain. 
Sun Dec 22 18:50:23 +0000 2019,🤍 https://t.co/KbMBDZMIRX,🤍 
Sun Dec 22 18:49:40 +0000 2019,i love you more https://t.co/TELW14jqOK,i love you more 
Sun Dec 22 18:49:08 +0000 2019,green light https://t.co/ftYUVc0IxV,green light 
Sun Dec 22 18:48:03 +0000 2019,almost stopped to buy bootleg merch https://t.co/ieu0NGTdEW,almost stopped to buy bootleg merch 
Sun Dec 22 17:49:54 +0000 2019,https://t.co/64rNcj58ja,
Sun Dec 22 01:53:05 +0000 2019,https://t.co/oVtgKfjLS5,
Sat Dec 21 22:55:09 +0000 2019,u have no idea how it’s felt having u here or how it’s helped my heart ... thank u and love u https://t.co/jhUBakMYxx,u have no idea how it’s felt having u here or how it’s helped my heart ... thank u and love u 
Sat Dec 21 22:52:46 +0000 2019,my guy https://t.co/MVytXeIMBB,my guy 
Sat Dec 21 22:36:07 +0000 2019,two more,two more
Fri Dec 20 21:24:32 +0000 2019,love you always https://t.co/dRs22bvTuL,love you always 
Fri Dec 20 18:39:26 +0000 2019,https://t.co/SkaZpYP87v,
Fri Dec 20 18:22:21 +0000 2019,btw so excited for @idinamenzel to host a #home4holidays. wish i had been there. love u. tune in sunday 9/8c on @cbs 🖤,btw so excited for @idinamenzel to host a #home4holidays. wish i had been there. love u. tune in sunday 9/8c on @cbs 
Fri Dec 20 18:19:41 +0000 2019,thank you https://t.co/vJRs3C8wuW,thank you 
Fri Dec 20 06:23:34 +0000 2019,@fromnoheaven @nasasdeluxe snape 🤍,@fromnoheaven @nasasdeluxe snape 🤍
Fri Dec 20 06:22:37 +0000 2019,"@nasasdeluxe the last four tied 
they’re perfect to me","@nasasdeluxe the last four tied 
they’re perfect to me"
Fri Dec 20 06:06:51 +0000 2019,@ArianaToday @BarbraStreisand @courtneychipos my brand in two posts,@ArianaToday @BarbraStreisand @courtneychipos my brand in two posts
Fri Dec 20 05:54:22 +0000 2019,@oneIastdeluxe this is just how we are unfortunately i promise 🤍,@oneIastdeluxe this is just how we are unfortunately i promise 🤍
Fri Dec 20 05:50:56 +0000 2019,@diornasa what do y’all think this is i- 😂😭,@diornasa what do y’all think this is i- 
Fri Dec 20 05:50:20 +0000 2019,@ghostinrudy suddenly i don’t speak english,@ghostinrudy suddenly i don’t speak english
Fri Dec 20 05:49:39 +0000 2019,lmfao love u https://t.co/ytngeUrgs9,lmfao love u 
Fri Dec 20 05:40:48 +0000 2019,💍🤍 https://t.co/jgBMmyTNNO,🤍 
Fri Dec 20 05:40:00 +0000 2019,merry christmas courtney,merry christmas courtney
Fri Dec 20 05:37:19 +0000 2019,my friend courtney says it looks just fine ! (@ courtneychipolone on ig) https://t.co/CUUXSBjTO5,my friend courtney says it looks just fine ! (@ courtneychipolone on ig) 
Fri Dec 20 01:02:58 +0000 2019,🤍🤍🤍 https://t.co/ItU9m7rknD,🤍🤍🤍 
Fri Dec 20 01:02:36 +0000 2019,i’m so incredibly proud of my fans for engaging in this. thank u so much for investing in our future and for committing to making a change together. 🤍,i’m so incredibly proud of my fans for engaging in this. thank u so much for investing in our future and for committing to making a change together. 🤍
Fri Dec 20 00:59:02 +0000 2019,🤍 https://t.co/xxZzZE8fBZ,🤍 
Thu Dec 19 19:28:42 +0000 2019,@grandesbreakup @Savan_Kotecha 🤍 @Savan_Kotecha,@grandesbreakup @Savan_Kotecha 🤍 @Savan_Kotecha
Thu Dec 19 09:12:24 +0000 2019,@thinkingboutyou @giawss @godisfenty 🤍,@thinkingboutyou @giawss @godisfenty 🤍
Thu Dec 19 09:09:58 +0000 2019,@giawss @godisfenty @thinkingboutyou i ain’t goin nowhere trust me. even if i say “k bye” it jus means “brb”.,@giawss @godisfenty @thinkingboutyou i ain’t goin nowhere trust me. even if i say “k bye” it jus means “brb”.
Thu Dec 19 09:07:34 +0000 2019,@daydreanin @godisfenty @thinkingboutyou ssssssss,@daydreanin @godisfenty @thinkingboutyou ssssssss
Thu Dec 19 09:07:20 +0000 2019,@bigtitsariana @godisfenty @thinkingboutyou HATE this. fix it immediately. water. sleep. kind words. now bitch.,@bigtitsariana @godisfenty @thinkingboutyou HATE this. fix it immediately. water. sleep. kind words. now bitch.
Thu Dec 19 09:05:59 +0000 2019,@arianacuIture bray turn your damn ringer off for me ok,@arianacuIture bray turn your damn ringer off for me ok
Thu Dec 19 09:05:14 +0000 2019,@godisfenty @thinkingboutyou see now this is not how this is gonna work. 😭 self care together alright?,@godisfenty @thinkingboutyou see now this is not how this is gonna work.  self care together alright?
Thu Dec 19 09:04:32 +0000 2019,@yourgrandetea @_Toniiiiiiiii_ @thinkingboutyou always. now sleep.,@yourgrandetea @_Toniiiiiiiii_ @thinkingboutyou always. now sleep.
Thu Dec 19 09:03:52 +0000 2019,@_Toniiiiiiiii_ @thinkingboutyou and it’s 1 here. my point. goodnight. i’ll do anything for y’all to rest !,@_Toniiiiiiiii_ @thinkingboutyou and it’s 1 here. my point. goodnight. i’ll do anything for y’all to rest !
Thu Dec 19 09:02:34 +0000 2019,@thinkingboutyou jus got home 🥺 i’ll get to sleep soon but what the fuck about y’all? i swear to god u are up around the clock. close your eyes for me. what’s yo screen time lookin like? take care of yourselves too please. love u.,@thinkingboutyou jus got home 🥺 i’ll get to sleep soon but what the fuck about y’all? i swear to god u are up around the clock. close your eyes for me. what’s yo screen time lookin like? take care of yourselves too please. love u.
Thu Dec 19 09:00:48 +0000 2019,@alldatgrande @intoadore i knowwwww !,@alldatgrande @intoadore i kno !
Thu Dec 19 08:48:14 +0000 2019,@intoadore so funny i knew you were here tonight and i thought of u when i threw it 😩,@intoadore so funny i knew you were here tonight and i thought of u when i threw it 
Thu Dec 19 07:23:57 +0000 2019,that lil hand poppin into frame doing the choreo with us is my favorite shit in the world. nothing tops how u love me. u are everything. love u with all of me always. two. https://t.co/YUosnBSWJT,that lil hand poppin into frame doing the choreo with us is my favorite shit in the world. nothing tops how u love me. u are everything. love u with all of me always. two. 
Thu Dec 19 07:17:42 +0000 2019,two https://t.co/ZCvxiFpJx5,two 
Thu Dec 19 07:12:59 +0000 2019,https://t.co/NfUI1o9Awo,
Thu Dec 19 04:26:49 +0000 2019,@seenobodys @imagineaaworld i usually go on 9:20 i’ll go on at 8:45 bye,@seenobodys @imagineaaworld i usually go on 9:20 i’ll go on at 8:45 bye
Thu Dec 19 04:26:19 +0000 2019,@seenobodys @imagineaaworld ok,@seenobodys @imagineaaworld ok
Thu Dec 19 04:24:53 +0000 2019,@imagineaaworld it’s 8:20 u loon,@imagineaaworld it’s 8:20 u loon
Thu Dec 19 04:21:42 +0000 2019,how’s everyone feeling https://t.co/3WEgyPJseu,how’s everyone feeling 
Thu Dec 19 03:40:25 +0000 2019,thank you https://t.co/WuYANnAskY,thank you 
Wed Dec 18 21:34:59 +0000 2019,yes https://t.co/ZMwW1ecRGb,yes 
Wed Dec 18 21:08:52 +0000 2019,we’re almost there let’s go 🤍🗳 tell a friend #thankunextgen https://t.co/d6epY2R8Zj,we’re almost there let’s go 🤍 tell a friend #thankunextgen 
Wed Dec 18 21:06:52 +0000 2019,🤍 @HeadCountOrg https://t.co/d6epY2R8Zj https://t.co/FbX5IuJImg,🤍 @HeadCountOrg  
Wed Dec 18 19:34:58 +0000 2019,https://t.co/0mTNKYCPzt,
Wed Dec 18 07:13:43 +0000 2019,me fuckin too. love u more always. promise. https://t.co/clQkfa0QAa,me fuckin too. love u more always. promise. 
Wed Dec 18 07:13:03 +0000 2019,me too. so incredibly grateful. thank u for everything. https://t.co/T40TJY4pu3,me too. so incredibly grateful. thank u for everything. 
Wed Dec 18 07:11:47 +0000 2019,my heart feels so heavy man.... i’m sorry i couldn’t pull it together a few times tonight. love u more than i ever have and i’ll love u even more tomorrow. https://t.co/5WsDNk4GLN,my heart feels so heavy man.... i’m sorry i couldn’t pull it together a few times tonight. love u more than i ever have and i’ll love u even more tomorrow. 
Wed Dec 18 03:33:56 +0000 2019,less than 1k away from breaking the all time record of voters registered on a tour 🤍 @headcountorg ✉️ https://t.co/d6epY2R8Zj,less than 1k away from breaking the all time record of voters registered on a tour 🤍 @headcountorg  
Tue Dec 17 22:02:47 +0000 2019,@grandetension fake as hell,@grandetension fake as hell
Tue Dec 17 21:14:14 +0000 2019,coming soon 🤍☁️ presave now if u want https://t.co/oxAZ2OypkX https://t.co/SrFiUI9w8w,coming soon 🤍 presave now if u want  
Tue Dec 17 20:37:40 +0000 2019,love u more i’ll come say hello after https://t.co/JhNIG581mL,love u more i’ll come say hello after 
Tue Dec 17 20:33:14 +0000 2019,:) https://t.co/v68WW9dZQ8,:) 
Tue Dec 17 20:32:40 +0000 2019,too cruel https://t.co/EH8Ms3chVU,too cruel 
Tue Dec 17 20:30:35 +0000 2019,@sadbhtoside u right here,@sadbhtoside u right here
Tue Dec 17 20:29:18 +0000 2019,@tattoosmilee nah,@tattoosmilee nah
Tue Dec 17 20:21:45 +0000 2019,@_Toniiiiiiiii_ @tbyarianagb have u seen the size of me baby 🥺,@_Toniiiiiiiii_ @tbyarianagb have u seen the size of me baby 🥺
Tue Dec 17 20:20:57 +0000 2019,my taya https://t.co/2uecYfRBDW,my taya 
Tue Dec 17 20:20:24 +0000 2019,@tbyarianagb i had ....... one glass ....... y’all are so extrad out i,@tbyarianagb i had ....... one glass ....... y’all are so extrad out i
Tue Dec 17 20:19:16 +0000 2019,🤍💍💎 sweet angel https://t.co/nL3mAL3UIG,🤍 sweet angel 
Tue Dec 17 04:29:56 +0000 2019,no but goodnight https://t.co/CHArjQA7Wa,no but goodnight 
Tue Dec 17 04:29:26 +0000 2019,nah https://t.co/Hmp6iwTD39,nah 
Tue Dec 17 04:28:27 +0000 2019,love u more https://t.co/IKAYtZqyxB,love u more 
Tue Dec 17 04:27:41 +0000 2019,no https://t.co/m6ktuHd6Ls,no 
Tue Dec 17 04:26:50 +0000 2019,:’) https://t.co/3Q7PdwpK5x,:’) 
Tue Dec 17 04:24:54 +0000 2019,do u want to know when the live album is coming no or no,do u want to know when the live album is coming no or no
Tue Dec 17 04:24:29 +0000 2019,ok https://t.co/cTdZNAQ94P,ok 
Tue Dec 17 04:21:03 +0000 2019,@remdizzy @invisibleseas @remliams @borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS see. goodnight.,@remdizzy @invisibleseas @remliams @borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS see. goodnight.
Tue Dec 17 04:20:35 +0000 2019,@invisibleseas @remliams @borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS do u really tho i feel like you’ll like it more as a surprise,@invisibleseas @remliams @borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS do u really tho i feel like you’ll like it more as a surprise
Tue Dec 17 04:19:33 +0000 2019,@remliams @borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS HOW 🤍🤍🤍🤍,@remliams @borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS HOW 🤍🤍🤍🤍
Tue Dec 17 04:18:25 +0000 2019,@borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS,@borderlinevinyl @gwsxavenue @VictoriaMonet @TBHITS
Tue Dec 17 04:17:09 +0000 2019,@arianacuIture but ....... u didn’t. goodnight. love u. so much.,@arianacuIture but ....... u didn’t. goodnight. love u. so much.
Tue Dec 17 04:15:55 +0000 2019,@gwsxavenue i’m mildly tipsy i refuse to ruin this no,@gwsxavenue i’m mildly tipsy i refuse to ruin this no
Tue Dec 17 04:12:04 +0000 2019,@PianoArianaBieb @EVERYTlMEARl i sure hope so 🥺🖤,@PianoArianaBieb @EVERYTlMEARl i sure hope so 🥺
Tue Dec 17 04:10:42 +0000 2019,@EVERYTlMEARl whatever anybody told me they wanted 😭 it was a thing,@EVERYTlMEARl whatever anybody told me they wanted  it was a thing
Tue Dec 17 04:09:52 +0000 2019,@ghostinkeith yes goodnight,@ghostinkeith yes goodnight
Mon Dec 16 19:38:11 +0000 2019,@yourstrulycry @ghostincrys @arianashijabi @leonthomas love u more !!!!,@yourstrulycry @ghostincrys @arianashijabi @leonthomas love u more !!!!
Mon Dec 16 19:35:36 +0000 2019,@ghostincrys @arianashijabi @leonthomas thank u. i feel like everything that’s happened since then sonically has been me slowly working my way back to that time in my life. like a full circle. 🤍 everything else was necessary and important but it’s clear (i think) which projects have most of my heart.... anyway.,@ghostincrys @arianashijabi @leonthomas thank u. i feel like everything that’s happened since then sonically has been me slowly working my way back to that time in my life. like a full circle. 🤍 everything else was necessary and important but it’s clear (i think) which projects have most of my heart.... anyway.
Mon Dec 16 19:29:41 +0000 2019,@agblinsky @arianashijabi @leonthomas mhmm :),@agblinsky @arianashijabi @leonthomas mhmm :)
Mon Dec 16 19:29:19 +0000 2019,@tbyarianagb @arianashijabi @leonthomas i think it should :),@tbyarianagb @arianashijabi @leonthomas i think it should :)
Mon Dec 16 19:27:40 +0000 2019,"@arianashijabi mmmmmm i mean it wouldn’t have fit sonically, i think the yours truly version is perfect / what it needed to be. i really do love how both sound. and i love that @leonthomas’ vocals are the first thing u hear on my debut album. that’s special too. they both hold a special place.","@arianashijabi mmmmmm i mean it wouldn’t have fit sonically, i think the yours truly version is perfect / what it needed to be. i really do love how both sound. and i love that @leonthomas’ vocals are the first thing u hear on my debut album. that’s special too. they both hold a special place."
Mon Dec 16 19:23:42 +0000 2019,@wydbutera @arixsolana @TBHITS @VictoriaMonet @leonthomas 🤍,@wydbutera @arixsolana @TBHITS @VictoriaMonet @leonthomas 🤍
Mon Dec 16 19:23:13 +0000 2019,@arixsolana @TBHITS @VictoriaMonet @leonthomas i’ll always love what the rascals added too :) i love both versions soooo much but i guess the original just reminds me of when i first met tommy and vic ! that’s their baby lowkey,@arixsolana @TBHITS @VictoriaMonet @leonthomas i’ll always love what the rascals added too :) i love both versions soooo much but i guess the original just reminds me of when i first met tommy and vic ! that’s their baby lowkey
Mon Dec 16 19:21:21 +0000 2019,🤍 https://t.co/wHSwqwUQE9,🤍 
Mon Dec 16 19:20:13 +0000 2019,@arixsolana i love u so much for tweeting this and then dming me “i hope it’s a surprise drop” .... ur legit the only reason i haven’t spilled yet,@arixsolana i love u so much for tweeting this and then dming me “i hope it’s a surprise drop” .... ur legit the only reason i haven’t spilled yet
Mon Dec 16 19:19:17 +0000 2019,love uuuuu sm. this song changed my life fr @TBHITS @VictoriaMonet https://t.co/iYqTTuQWAX,love uuuuu sm. this song changed my life fr @TBHITS @VictoriaMonet 
Mon Dec 16 19:06:16 +0000 2019,@needymax @howimoveyou the most ever,@needymax @howimoveyou the most ever
Mon Dec 16 19:05:36 +0000 2019,@howimoveyou i hate y’all 😭😭😭😭😭😭😭😭😭😭😭,@howimoveyou i hate y’all 
Mon Dec 16 18:58:54 +0000 2019,@howimoveyou ooooo bitch battle ship or sea battle whatever,@howimoveyou ooooo bitch battle ship or sea battle whatever
Mon Dec 16 18:55:32 +0000 2019,@hellyeahariana 😇,@hellyeahariana 
Mon Dec 16 18:55:15 +0000 2019,@EVERYTlMEARl @invisibleseas @REMVlSUALS @ghonstins omg thank u,@EVERYTlMEARl @invisibleseas @REMVlSUALS @ghonstins omg thank u
Mon Dec 16 18:53:45 +0000 2019,@invisibleseas @REMVlSUALS @ghonstins i can’t wait to be her,@invisibleseas @REMVlSUALS @ghonstins i can’t wait to be her
Mon Dec 16 18:52:19 +0000 2019,@arixsolana @byhrback please,@arixsolana @byhrback please
Mon Dec 16 18:52:09 +0000 2019,@arianacuIture do y’all have imessage or 😭,@arianacuIture do y’all have imessage or 
Mon Dec 16 18:50:57 +0000 2019,@REMVlSUALS @ghonstins thank u 😌 https://t.co/r2W51BrXnv,@REMVlSUALS @ghonstins thank u  
Mon Dec 16 18:44:44 +0000 2019,@byhrback no girl i’m sayyyyyyin i haven’t used that app since hmt,@byhrback no girl i’m sayyyyyyin i haven’t used that app since hmt
Mon Dec 16 18:43:31 +0000 2019,@ghonstins hayyy this my birth nose what tf did i log onto today lemme have a cute nose 🥺 damn,@ghonstins hayyy this my birth nose what tf did i log onto today lemme have a cute nose 🥺 damn
Mon Dec 16 18:40:03 +0000 2019,@tbyarianagb omg i deleted the app after the honeymoon tour 😭 like jus text me fam 🥺😭,@tbyarianagb omg i deleted the app after the honeymoon tour  like jus text me fam 🥺
Mon Dec 16 18:38:01 +0000 2019,@FrankieJGrande 🖤🖤🖤🖤🖤,@FrankieJGrande 
Mon Dec 16 07:35:44 +0000 2019,love u a lot https://t.co/s5B1OxRB4x,love u a lot 
Mon Dec 16 07:31:34 +0000 2019,shhh https://t.co/RGxMgRH8Mq,shhh 
Sun Dec 15 19:20:22 +0000 2019,this punched me in the fucking throat / heart .... love u most https://t.co/D1fVjXfufa,this punched me in the fucking throat / heart .... love u most 
Sat Dec 14 18:37:39 +0000 2019,🤍 https://t.co/XUD4QTLsgF,🤍 
Sat Dec 14 18:36:50 +0000 2019,a year https://t.co/SQ9pkn8C1Z,a year 
Sat Dec 14 07:29:58 +0000 2019,proper https://t.co/3o1xJ9aABh,proper 
Sat Dec 14 07:19:14 +0000 2019,. https://t.co/8YBkiL6tTN,. 
Sat Dec 14 07:16:32 +0000 2019,:( https://t.co/SoU8sy3qy4,:( 
Sat Dec 14 07:15:11 +0000 2019,love u. five more.,love u. five more.
Sat Dec 14 07:14:09 +0000 2019,grammy nominated w my best friend she da chicccoooooo @VictoriaMonet,grammy nominated w my best friend she da chicccoooooo @VictoriaMonet
Fri Dec 13 19:31:48 +0000 2019,https://t.co/MNr7Syc9Ry,
Fri Dec 13 19:31:48 +0000 2019,https://t.co/MNr7Syc9Ry,
Fri Dec 13 06:00:42 +0000 2019,"ten months in. six shows left. shits heavy. love u with all my heart. and yes, imma keep saying it. thank u for everything.","ten months in. six shows left. shits heavy. love u with all my heart. and yes, imma keep saying it. thank u for everything."
Fri Dec 13 05:25:46 +0000 2019,tired n grateful. so bittersweet. love u so much. https://t.co/rGjvagRh9s,tired n grateful. so bittersweet. love u so much. 
